qgis_prospect_layer,qgis_prospect_feature_id,qgis_layer,#_of_intersections,qgis_feature_id,ACTION_DTT,CIRCUIT1,CIRCUIT2,GDO_GID,OBJECTID_12,OPERATING_,ROUTE_ASSE,STATUS,Towers_In,class,endNode,fictitious,fid,formOfWay,function,identifier,length,loop,name1,name1_lang,name2,name2_lang,nameTOID,numberTOID,primary_,roadNumber,startNode,trunkRoad,bua22cd,bua22nm,bua22nmw
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27897,,,,,27897,,,,,Unknown,746351AB-E279-4ECB-88D4-C47C5C4997F6,false,27897,Single Carriageway,Restricted Local Access Road,0759A3FC-A158-408E-B612-93065739A371,183.0,false,,,,,,,false,,FD5E3DC3-BEBF-4D67-BB02-81FADFF7CFC2,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27961,,,,,27961,,,,,Unknown,93C9BC11-070B-4F3E-952D-24AC79ECB5CD,false,27961,Single Carriageway,Restricted Local Access Road,B8902FFE-19C1-4936-BBE5-7622D9DFE8DA,115.0,false,,,,,,,false,,7819AAD1-1A54-48F8-9BED-4CE906C5A353,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27963,,,,,27963,,,,,A Road,85809F07-B9C2-4758-A73A-48415B93888B,false,27963,Single Carriageway,A Road,6344A776-9002-4A78-8F3F-C56A154A0DB6,378.0,false,,,,,,osgb4000000012519452,false,A499,7819AAD1-1A54-48F8-9BED-4CE906C5A353,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,33048,,,,,33048,,,,,Unclassified,6CADD4E5-E1CF-4B0D-808F-8AD7E66D1137,false,33048,Single Carriageway,Minor Road,BF9680F2-38D6-4EB1-BB86-FA65A1406203,73.0,false,,,,,,,false,,5D8125DF-EE9F-465C-8024-4D658DE155E4,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,33042,,,,,33042,,,,,Unknown,1A2E93CC-C551-4B30-8A65-9BC5BF02170F,false,33042,Single Carriageway,Restricted Local Access Road,CE01AFF5-C89D-4C41-917D-6DEE70663B38,173.0,false,,,,,,,false,,A5EB5FD1-8E62-4DB6-AA39-2B07F4897BB5,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,33043,,,,,33043,,,,,Unclassified,42D9CE02-D756-4501-AEB3-51B2A39BF423,false,33043,Single Carriageway,Minor Road,167C7CCC-B6A6-4BD5-867D-496DAA28CA3F,298.0,false,,,,,,,false,,43174B4C-D751-4DD8-909E-66A5D4D53A35,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27847,,,,,27847,,,,,Unknown,2FA5ADC1-9A2E-4872-98D4-F752586D3567,false,27847,Single Carriageway,Restricted Local Access Road,E9A0B578-7D6E-42E1-85A9-F176F937528E,48.0,false,,,,,,,false,,1498DAED-A8E2-414B-B031-A8A82720E5FC,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27848,,,,,27848,,,,,Unknown,1498DAED-A8E2-414B-B031-A8A82720E5FC,false,27848,Single Carriageway,Restricted Local Access Road,CACD2166-9623-4D33-8CBD-9DD24E6A8FF6,142.0,false,,,,,,,false,,0B311AEF-0380-4616-A3E0-94631AD40ECB,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27849,,,,,27849,,,,,Unknown,E5C2D29F-85E3-4718-A105-6E1D8A47C8F0,false,27849,Single Carriageway,Restricted Local Access Road,BB571128-C098-4C00-A119-4712B6992765,180.0,false,,,,,,,false,,012A07D5-E5FC-4DE4-BF8B-0DC5E0317F7F,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,27824,,,,,27824,,,,,Unclassified,EE38B958-BE23-4991-A6EC-C4C308AEE7AB,false,27824,Single Carriageway,Local Road,86EA6FE0-C5D9-4963-9879-CCFF06797E4E,193.0,false,,,,,,,false,,2B0054E8-397F-4BB1-84A2-50CA4F0D0CA8,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,32927,,,,,32927,,,,,Unclassified,1C584D9B-9AE1-4718-88DE-916EE9CBFEE4,false,32927,Single Carriageway,Local Road,9E75FFDF-3B5C-4DC3-A5F3-A96CA928B409,54.0,false,,,,,,,false,,49EB3176-D470-4C93-A123-6B06BE1A6C3E,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,32929,,,,,32929,,,,,Classified Unnumbered,8B699756-1014-4609-AFBD-FCC36DEED4B9,false,32929,Single Carriageway,Minor Road,2DA2C274-CB0F-48FB-A001-DF08FCA4B661,434.0,false,,,,,,,false,,FE6202D3-1F6F-417C-94C3-1D22A7AA8A3D,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,32936,,,,,32936,,,,,B Road,49EB3176-D470-4C93-A123-6B06BE1A6C3E,false,32936,Single Carriageway,B Road,C0390738-9E9D-41FA-97FB-79EEA35B6DB3,121.0,false,,,,,,osgb4000000012519449,false,B4413,71693053-9C60-424B-9556-0B6D4E5128BF,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,9397,,,,,9397,,,,,A Road,E6AF4B53-3384-456C-B43D-C00FD374EBD0,false,9397,Collapsed Dual Carriageway,A Road,5757F335-7D4C-4CC0-A25D-E72B90532E69,1923.0,false,,,,,,osgb4000000012519443,true,A55,2426D662-12CF-4C24-B04D-208EB40CD39C,true,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,9407,,,,,9407,,,,,Unknown,A9884AFA-CD4D-4FF6-8EDA-947BBD47EAD7,false,9407,Single Carriageway,Restricted Local Access Road,10DE9B75-866C-4975-B229-E36A75633DFA,289.0,false,,,,,,,false,,BBFBD2A0-6E66-4308-A038-A7AFA63C47D6,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,9354,,,,,9354,,,,,Unclassified,A93FBC77-3A36-43CB-8265-E7E3D9013223,false,9354,Single Carriageway,Restricted Local Access Road,1ABBA9EA-F557-4DAF-A83F-00C167E84BBB,77.0,false,,,,,,,false,,2EDEAE12-D862-437E-9881-4E553DE82F8A,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,9356,,,,,9356,,,,,Unclassified,9D3BBB38-7F8A-437B-B39A-13BE1C817755,false,9356,Single Carriageway,Minor Road,EC75ACE0-0544-4F4A-A3F7-E61D653B61F6,643.0,false,,,,,,,false,,A93FBC77-3A36-43CB-8265-E7E3D9013223,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,8740,,,,,8740,,,,,A Road,391052DD-EAAA-4F0F-9A06-8299DFAFB8A7,false,8740,Single Carriageway,A Road,CE51ABFB-F1EA-43DD-8784-CCBDF32635CD,1092.0,false,,,,,,osgb4000000012519440,false,A4086,7A43FEF0-4B55-4F83-9FD0-1DF9D6CC01AE,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,8353,,,,,8353,,,,,A Road,3C9C3E1D-900A-40A1-BE77-525A38C67C8D,false,8353,Single Carriageway,A Road,51A5D525-ABC9-4104-A3FB-384816C868A6,4001.0,false,,,,,,osgb4000000018085525,true,A5,7D5011C1-485E-4C1F-A4B4-B37AD16B576E,true,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,8329,,,,,8329,,,,,Classified Unnumbered,40440B73-3C15-4F56-897C-7774B62EEA34,false,8329,Single Carriageway,Minor Road,99581251-C88A-407F-A733-2496F3332C55,4018.0,false,,,,,,,false,,F35EDDED-DE34-4686-AAD5-EBE050C895DE,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15043,,,,,15043,,,,,A Road,3D537075-9168-4EE4-B59A-F0CF0735F517,false,15043,Single Carriageway,A Road,E108DCF7-B304-4A21-A48B-A0618DC1E101,668.0,false,Ffordd Pentraeth,cym,Pentraeth Road,eng,osgb4000000012508322,osgb4000000012519445,false,A5025,2F5CECB8-3B80-45CF-8968-81D298066948,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,2,15131,,,,,15131,,,,,Unknown,F2A8B602-4608-447C-95EA-07CBEC34DD9D,false,15131,Single Carriageway,Restricted Local Access Road,1A829EC5-1F89-44CC-AEE7-B27C0DDEAF4B,224.0,false,,,,,,,false,,1C114AFE-3A2D-40BB-A875-B951F3B06E9B,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15047,,,,,15047,,,,,Unknown,DE0EDC5C-D23F-49E1-BFE8-E4C4F7262CB5,false,15047,Single Carriageway,Restricted Local Access Road,049E9F67-3848-415B-BB88-586DDF3F9958,222.0,false,,,,,,,false,,2F5CECB8-3B80-45CF-8968-81D298066948,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15119,,,,,15119,,,,,Classified Unnumbered,134C6EE4-CFE5-4C3B-B887-D5ABC7957A53,false,15119,Single Carriageway,Minor Road,2B45A9A6-6D86-4134-B315-22BE742B8229,639.0,false,,,,,,,false,,C7AEC23B-C119-481D-9BA3-F2D8EBFE7562,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15129,,,,,15129,,,,,Unknown,44FD97CE-C6B1-4ECF-9432-045E8961B115,false,15129,Single Carriageway,Restricted Local Access Road,3818C8CA-CDFD-4A77-ACEF-41858E5102D6,732.0,false,,,,,,,false,,6F5E700E-1FBF-4C1F-93A5-4E399E7EA84A,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15074,,,,,15074,,,,,Unclassified,D18AA639-DEF8-4983-A32C-12C67F36D8D2,false,15074,Single Carriageway,Minor Road,6D33F638-B246-4FAB-8DBB-3A15A9732D88,909.0,false,,,,,,,false,,332E2202-DFDE-47B4-A8C4-88B090A59108,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,3,15195,,,,,15195,,,,,Unclassified,8B95ED62-DB96-4A8B-B222-5E7676C4F049,false,15195,Single Carriageway,Local Road,E98DB0DA-14A1-4494-A48C-368934E85657,318.0,false,,,,,,,false,,FC01FBBB-1BBD-4945-BE33-5FE67309D271,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15092,,,,,15092,,,,,Unknown,C5704ACE-D02B-49A8-96D2-508450EEC7E8,false,15092,Single Carriageway,Restricted Local Access Road,91DF06EF-700C-49F6-A215-CAA303258EB9,38.0,false,,,,,,,false,,2CEEB3A1-5645-4E17-8316-E2975FA330EA,false,,,
